,origin,timestamp,tickLower,tickUpper,amount,amount0,amount1,transaction.blockNumber
70,0x6effe28baac5156fe6d3e8bc18872a8419ce0fa5,1653979717,200560,201630,18047721033631076,41524.279438,0,14877293
71,0xc1cef46c74425a17c9021394b796642179c5bb98,1653978875,200780,206680,0,0,0,14877231
72,0xc1cef46c74425a17c9021394b796642179c5bb98,1653978875,200780,206680,2274249008147355,25380.03582,0,14877231
73,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,1653978553,200490,200500,979744943078938722863,21202525.616509,256.42364684241560076,14877200
74,0xe457ea3b86262579f16e9b65257168a00ff24981,1653978081,199460,200470,0,0,0,14877177
75,0x2da054af93d06dc140ef84403a67ae7cea89df1c,1653977573,200410,200560,4284335073324074933,1099749.494715,164.271723541097088444,14877143
76,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,1653977393,200460,200470,763120028346181912765,16639416.901269,148.651189234653833924,14877128
77,0x431b5a84acc1297eda88259f300262f1bc3a74f3,1653977387,200460,200470,787019864694139345484,17166906.202027,150.075772961240084418,14877127
78,0xb78588d2a90a4bf2b25c2d6b940b7039b7611c39,1653977270,200650,201940,4114317650911777,11299.63054,0,14877123
79,0xb78588d2a90a4bf2b25c2d6b940b7039b7611c39,1653977180,200630,201170,17997033712563974,21100.182419,0,14877118
80,0xee63001c0b591bdf3ded155a48d74160ee5a7324,1653976266,198910,203190,0,0,0,14877053
81,0xd553294b42bdfeb49d8f5a64e8b2d3a65fc673a9,1653976161,197110,201620,0,0,0,14877048
82,0x4603180bbb8221157880afaa84638e0fc467738d,1653975850,200420,200430,1217227344441327912477,18514976.068634,4321.070682801078009051,14877024
83,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653975036,200210,200410,366753986043713046,17943.994376,72.948877167173032687,14876972
84,0x02b20e089eb8df85248fede288c4acf140dcc831,1653974669,200180,200490,5159695282463255,1177.780274,1.193917182010757655,14876947
85,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653973174,200330,200340,7325948395950780863,0,82.000009999999999997,14876836
86,0xb7a4f6cdc69e01333cb18c39777275e1e5906d69,1653969648,199060,201360,25818059762836425,56728.510528,36.138778128657996761,14876604
87,0x4abd48faa1137211e2747a1347cd36a27e2b2070,1653969191,199130,202240,295389656617678114,1193655.398589,389.188467402066861041,14876573
88,0x62826f58c3c24d1ea6191da96264608168f9234b,1653968894,200560,200820,135028423825889473,77026.434964,0,14876548
89,0xc374b767f4a3073b3b21f31b06498ca7268439b3,1653968894,193970,201550,0,0,0,14876548
90,0x62826f58c3c24d1ea6191da96264608168f9234b,1653968714,200710,200920,513406008684798571,235074.881396,0,14876533
91,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653968516,200320,200370,1464320938876371149,0,81.992394938597031602,14876514
92,0x6b92686c40747c85809a6772d0eda8e22a77c60c,1653968305,195110,201590,0,0,0,14876505
93,0xa1a571a541a19b92798b6314b52057c367c45163,1653967517,200660,200820,115729288409849687,40524.431892,0,14876445
94,0x02b20e089eb8df85248fede288c4acf140dcc831,1653967406,200220,200530,5221019500360295,2155.195116,0.72401414965845209,14876437
95,0x05cc1e259efa8a4b79c5a5d229f049c60e5a4bce,1653964173,200460,210250,494434356064151,8494.977597,0,14876221
96,0x05cc1e259efa8a4b79c5a5d229f049c60e5a4bce,1653963809,200460,210250,890204400854672,15294.783522,0,14876194
97,0x6231bbec7d772feb7b625ebcebd5ea054f06cc09,1653960691,201270,207240,169455265675720,1864.101152,0,14875954
98,0x02b20e089eb8df85248fede288c4acf140dcc831,1653960145,200130,200440,5288644524982484,490.280296,1.582720492436871189,14875906
99,0x6a0fce3b38afc28797deac0a955471b927ed7e03,1653959226,200490,201490,243056021875084797,525382.643326,0,14875834
0,0xb44c5d6772fee66f106df2eae81b93e8903890b6,1653958864,200250,202670,0,0,0,14875802
1,0xb44c5d6772fee66f106df2eae81b93e8903890b6,1653958841,199360,201650,0,0,0,14875800
2,0x4752747126e7cd1a7cc235fd7baddc9fbc60b905,1653958783,199590,203950,0,0,0,14875793
3,0x4633b2626033cb3c545bf44be31494c312a97917,1653958682,199360,201940,41976945536867613,142830.266118,45.592260214125138477,14875785
