,date,liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,tick
37,1642204800,28747796723685755583,1372912471952534339035323648956855,3330.224157588741853224886265604562,0.0003002800870689896160802105571822685,357780963.765842,107596.096993794272221511,195212
38,1642118400,28213737666755380427,1376968650471131959221862254918651,3310.633169448384874199251627160076,0.0003020570231786263480347106955720548,651633336.901147,199139.89656890837104279,195271
39,1642032000,48534188281655561357,1392158239657842636619455796690225,3238.783836116067496631797346139741,0.0003087578704231137353726821319973405,933436548.985639,281091.709834146975045787,195490
40,1641945600,48975335565732735778,1364796304813297328790290322831571,3369.950265798395287729775477334888,0.0002967402843148736960138523096191428,674907698.971551,203237.390504992631195142,195093
41,1641859200,24982368051854907987,1392347582988855872406342880154967,3237.903020965454145879858324784253,0.0003088418626268267118468768959536731,623620886.679918,197514.432843981945599611,195493
42,1641772800,22902374666733661298,1427109436824650749426254268309792,3082.084998324301197178591158628052,0.0003244556852078025113750316937484899,1116159689.532077,365837.66720682190027872,195986
43,1641686400,22231774911544986555,1411750560449304797064528000834060,3149.511727655838362980977679308479,0.0003175095336902567015568786494547409,543098952.2345,173326.437952417076954173,195769
44,1641600000,21303107917048922348,1427529197605175527168793479356511,3080.272708674862737418081873148384,0.0003246465798900647599420190320261171,929629267.511139,298256.028218582195668361,195992
45,1641513600,20472237253704609418,1401485854442414231368567847594114,3195.815730704035676089114499168675,0.00031290915505309838107208963601589,942738532.455012,294174.691359997004840667,195624
46,1641427200,10218234689254322659,1357510438828987674771479530795708,3406.220918707785219633665868898803,0.0002935804881320995016352204546591194,636264319.042862,186234.167163615468945108,194986
47,1641340800,6204437116380725102,1331271783287649144968662993399968,3541.813698316720190810116045114288,0.0002823412198318785865685266468869305,836241542.073905,227018.56677192173546449,194595
48,1641254400,32180710380930508911,1287253364624971798148738141779942,3788.184268054869777007121183387937,0.0002639787109705391836536762737571847,660814228.589789,173903.979224790706479536,193923
49,1641168000,10617703726174349832,1291279366873177213238450889408893,3764.599189084079234441774450982288,0.0002656325281319784666170022211476936,498660445.248834,131769.709017600088106966,193985
50,1641081600,39015217425572397857,1280325260272903711468069754604183,3829.292485027880809858371095612665,0.0002611448469684391502353938186098793,427797301.430214,113306.969220626773989694,193815
51,1640995200,31087554658478370619,1290568678617460783035121282602731,3768.74649737304406441031758420136,0.0002653402134362279470473623544530087,383805664.382047,103096.831506094896461796,193974
52,1640908800,5601615987093361443,1306585747936114052537157081540274,3676.912831483550538125876849963234,0.0002719672850108123961071917902410247,475962302.389061,127447.710261372777254313,194221
53,1640822400,8103553162682049265,1300907640983387655735246512325064,3709.08032259846981552825495569891,0.0002696086126545326896589685330018798,468548512.234243,126869.909106490962419957,194134
54,1640736000,4545937074113037898,1315011753391385770299094646787486,3629.943777224443047789234160416984,0.0002754863604980207388004016849764174,559839315.666305,148670.937263645352330587,194350
55,1640649600,29196339004488634163,1285822874305467654976525516207405,3796.617739500091768482813816716438,0.0002633923319685252260528006352074542,910250581.966605,234143.55744138446931043,193901
